id;date;mode;from_alamat;from_kelurahan;from_kecamatan;from_latlng;to_alamat;to_kelurahan;to_kecamatan;to_latlng;distance;amount_delivery;amount_merchant;transaction_amount_total;customer_id;customer_gender;customer_birthdate;driver_id;driver_gender;driver_birthdate;kendaraan_jenis;kendaraan_merk;merchant_id;merchant_name;merchant_category
1847;2019/03/07 15:53 s/d 2019/03/07 13:30;BIKE;Gang Hidayat,  Sul Ambawang Kuala;TANJUNG HULU;PONTIANAK TIMUR;-0,035939279,109,3912721;Unnamed Road,  Pal IX;BANGKA BELITUNG LAUT;PONTIANAK TENGGARA;-0,058672487,109,2814529;14.47;7500;0;7500;27;P;1974-04-18T00:00:00;85;L;1984-01-06T00:00:00;MOTOR;Suzuki;;;
1408;2019/03/07 13:30 s/d 2019/03/07 08:34;SHOP;Indomaret Jalan karet, Jl Karet;SUNGAI BELIUNG;PONTIANAK BARAT;-0,0098018,109,2951365;Jl. Parit Demang Dalam,  Parit Tokaya;BENUA MELAYU DARAT;PONTIANAK SELATAN;-0,073071807,109,3222317;9.65;13000;31000;44000;54;P;1997-01-26T00:00:00;77;L;1976-07-26T00:00:00;MOTOR;BMW;418;Indomaret Jalan karet;TOKO/SWALAYAN
1439;2019/03/07 08:34 s/d 2019/03/06 22:20;SHOP;Indomaret teuku umar, Jl Teuku Umar;DARAT SEKIP;PONTIANAK KOTA;-0,0326539,109,3314114;Jl. Suka Mulia No.88,  Sungai Jawi;SUNGAI BELIUNG;PONTIANAK BARAT;-0,038704611,109,3065035;4.85;6000;36000;42000;52;P;1988-01-21T00:00:00;84;L;2000-02-22T00:00:00;MOTOR;Kawasaki;420;Indomaret teuku umar;TOKO/SWALAYAN
1766;2019/03/06 22:20 s/d 2019/03/06 08:53;BIKE;Unnamed Road,  Pal IX;BANSIR DARAT;PONTIANAK TENGGARA;-0,062466265,109,2854573;Gg. Lestari,  Siantan Tengah;SIANTAN HULU;PONTIANAK UTARA;-0,010255399,109,3508127;11.3;5500;0;5500;34;L;2005-07-07T00:00:00;86;L;1995-01-12T00:00:00;MOTOR;Honda;;;
1907;2019/03/06 08:53 s/d 2019/03/06 08:41;CAR;Gang Anugrah,  Siantan Tengah;BATU LAYANG;PONTIANAK UTARA;0.012710814550214,109,35114;Gg. Darma Putra 19 A,  Siantan Hilir;SIANTAN HILIR;PONTIANAK UTARA;-0,002516938,109,3459086;3.79;6000;0;6000;73;L;1992-02-01T00:00:00;108;P;1991-12-21T00:00:00;MOBIL;Toyota;;;
1584;2019/03/06 08:41 s/d 2019/03/06 08:39;BIKE;Jl. H. Rais A. Rachman No.282,  Sungai Jawi Dalam;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,019976537,109,3202363;Jl. Camar No.9a,  Mariana;PAL LIMA;PONTIANAK BARAT;-0,022235227,109,3284664;2.95;1000;0;1000;39;P;1992-02-27T00:00:00;104;P;1979-10-19T00:00:00;MOTOR;BMW;;;
1980;2019/03/06 08:39 s/d 2019/03/05 12:54;CAR;Gg. Merangkai No.35,  Siantan Hulu;SIANTAN HILIR;PONTIANAK UTARA;-0,007634859,109,3572542;Jl. Ampera No.12,  Sungai Bangkong;BANSIR DARAT;PONTIANAK TENGGARA;-0,056871663,109,3045784;10.02;19200;0;19200;6;P;1986-02-07T00:00:00;109;P;1988-05-02T00:00:00;MOBIL;Honda;;;
1851;2019/03/05 12:54 s/d 2019/03/05 10:48;BIKE;Blk. A-B No.a29,  Pal IX;BENUA MELAYU LAUT;PONTIANAK SELATAN;-0,058011727,109,2970259;Jl. Karya,  Pal IX;SUNGAI BANGKONG;PONTIANAK KOTA;-0,056138475,109,2935403;2.44;1000;0;1000;67;P;1994-02-05T00:00:00;81;L;1991-09-08T00:00:00;MOTOR;BMW;;;
1140;2019/03/05 10:48 s/d 2019/03/05 08:55;FOOD;Nasi Goreng 21, Jl. H. Rais A. Rachman No.310, Sungai Jawi Dalam, Pontianak Bar., Kota Pontianak, Kalimantan Barat 78244, Indonesia;MARIANA;PONTIANAK KOTA;-0,020418712,109,3193189;Gg. Wonodadi 2 No.5,  Kota Baru;BENUA MELAYU DARAT;PONTIANAK SELATAN;-0,056139686,109,3202945;5.97;7000;71500;78500;59;P;1985-10-26T00:00:00;101;P;1986-02-04T00:00:00;MOTOR;Honda;15;Nasi Goreng 21;WARUNG MAKAN
2011;2019/03/05 08:55 s/d 2019/03/04 22:53;CAR;Jl. Kh.A.Dahlan No.67,  Darat Sekip;SUNGAI JAWI;PONTIANAK KOTA;-0,029947045,109,3297414;Gang Parit Timur,  Mega Tim.;SAIGON;PONTIANAK TIMUR;-0,016424518,109,3999763;9.95;19200;0;19200;74;P;2001-11-28T00:00:00;108;P;1991-12-21T00:00:00;MOBIL;Toyota;;;
1434;2019/03/04 22:53 s/d 2019/03/04 22:30;SHOP;Indomaret Siantan Hilir, Jl Gusti Situt Mahmud;SIANTAN HILIR;PONTIANAK UTARA;-0,013708,109,336138;Jl. 28 Oktober No.188,  Siantan Hulu;DALAM BUGIS;PONTIANAK TIMUR;0.0055064593602086,109,3633346;5.7;7000;69500;76500;55;L;2004-04-22T00:00:00;85;L;1984-01-06T00:00:00;MOTOR;Suzuki;425;Indomaret Siantan Hilir;TOKO/SWALAYAN
1715;2019/03/04 22:30 s/d 2019/03/04 21:53;BIKE;Blk. P-Q,  Parit Tokaya;BENUA MELAYU DARAT;PONTIANAK SELATAN;-0,06382848,109,3301599;Gg. Risa No.1,  Sungai Jawi Dalam;TENGAH;PONTIANAK KOTA;-0,023150168,109,3093356;7.08;3500;0;3500;25;P;1987-01-16T00:00:00;83;L;1975-11-17T00:00:00;MOTOR;Honda;;;
1675;2019/03/04 21:53 s/d 2019/03/04 21:15;BIKE;Gg. Swakarya II No.17,  Kota Baru;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,052895436,109,3161849;Gg. Margodadirejo 2CC,  78244;SUNGAI BELIUNG;PONTIANAK BARAT;-0,026917496,109,3094926;4.98;2000;0;2000;28;P;1990-02-15T00:00:00;101;P;1986-02-04T00:00:00;MOTOR;Honda;;;
1920;2019/03/04 21:15 s/d 2019/03/04 20:59;CAR;Gg. Bukit Raya 2 No.78,  Sungai Jawi Dalam;DARAT SEKIP;PONTIANAK KOTA;-0,018595816,109,3183225;Jl. Sakura No.2b,  Akcaya;MARIANA;PONTIANAK KOTA;-0,037950211,109,3311813;4.58;7200;0;7200;18;P;1991-11-27T00:00:00;109;P;1988-05-02T00:00:00;MOBIL;Honda;;;
1745;2019/03/04 20:59 s/d 2019/03/04 09:37;BIKE;Jl. Dr. Sutomo No.4,  Sungai Bangkong;PARIT TOKAYA;PONTIANAK SELATAN;-0,046277981,109,3182076;Jl. Gaya Baru Gg. D.Bintara No.25,  Tambelan Sampit;DALAM BUGIS;PONTIANAK TIMUR;-0,029687242,109,3490152;5.89;2500;0;2500;63;P;1994-05-03T00:00:00;81;L;1991-09-08T00:00:00;MOTOR;BMW;;;
1219;2019/03/04 09:37 s/d 2019/03/04 06:59;FOOD;Banana Queen, Jalan Putri Daranante Gg.Nurcahaya No.41B;SUNGAI BANGKONG;PONTIANAK KOTA;-0,0263303,109,3425039;Gang Setia,  Siantan Hulu;BATU LAYANG;PONTIANAK UTARA;-0,018222183,109,3703058;5.22;6000;69000;75000;56;L;1984-09-22T00:00:00;103;P;1994-11-21T00:00:00;MOTOR;BMW;339;Banana Queen;JAJANAN
2051;2019/03/04 06:59 s/d 2019/03/03 16:35;CAR;Unnamed Road,  Sungai Rengas;BANGKA BELITUNG DARAT;PONTIANAK TENGGARA;-0,038306987,109,2521089;Jl. Putri Dara Hitam No.21,  Sungai Bangkong;TENGAH;PONTIANAK KOTA;-0,029316024,109,3234469;9.99;19200;0;19200;51;L;1991-07-05T00:00:00;108;P;1991-12-21T00:00:00;MOBIL;Toyota;;;
1939;2019/03/03 16:35 s/d 2019/03/03 12:39;CAR;Gg. Nursalim No.11,  Sungai Bangkong;TENGAH;PONTIANAK KOTA;-0,031177753,109,3202097;Gg. Aspal No.5,  Sungai Jawi;BANSIR DARAT;PONTIANAK TENGGARA;-0,033457906,109,3055363;3.65;6000;0;6000;38;L;1975-04-11T00:00:00;97;L;1978-07-27T00:00:00;MOBIL;Mitsubishi;;;
1218;2019/03/03 12:39 s/d 2019/03/03 09:15;FOOD;Jojo Juice, Merdeka, Jl. Hos Cokroaminoto No.344, RW.VII, Darat Sekip, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;MARIANA;PONTIANAK KOTA;-0,02777,109,3334367;Unnamed Road,  Pal IX;BANGKA BELITUNG DARAT;PONTIANAK TENGGARA;-0,055873488,109,2901282;7.74;10000;49000;59000;21;L;2005-02-20T00:00:00;85;L;1984-01-06T00:00:00;MOTOR;Suzuki;255;Jojo Juice, Merdeka;JAJANAN
1665;2019/03/03 09:15 s/d 2019/03/02 16:30;BIKE;Unnamed Road,  Punggur Kecil;BANSIR LAUT;PONTIANAK TENGGARA;-0,084685391,109,2823454;Unnamed Road,  Pal IX;BANSIR LAUT;PONTIANAK TENGGARA;-0,06821029,109,2829274;3.83;1500;0;1500;55;L;2004-04-22T00:00:00;86;L;1995-01-12T00:00:00;MOTOR;Honda;;;
2003;2019/03/02 16:30 s/d 2019/03/02 15:54;CAR;Unnamed Road,  Pal IX;BANGKA BELITUNG DARAT;PONTIANAK TENGGARA;-0,066180926,109,2770786;Jalan Kemakmuran No.31,  Sungai Jawi;DARAT SEKIP;PONTIANAK KOTA;-0,03637073,109,3125917;7.16;13200;0;13200;56;L;1984-09-22T00:00:00;97;L;1978-07-27T00:00:00;MOBIL;Mitsubishi;;;
1926;2019/03/02 15:54 s/d 2019/03/02 10:58;CAR;Jl. Gusti Hamzah No.31,  Sungai Bangkong;DARAT SEKIP;PONTIANAK KOTA;-0,028442789,109,3194975;Jl. Meranti No.63a,  Darat Sekip;SUNGAI BELIUNG;PONTIANAK BARAT;-0,030991615,109,331723;3.39;4800;0;4800;37;P;1985-01-08T00:00:00;96;L;1995-05-26T00:00:00;MOBIL;KIA;;;
1913;2019/03/02 10:58 s/d 2019/03/02 07:12;CAR;Unnamed Road,  Pal IX;BANSIR DARAT;PONTIANAK TENGGARA;-0,063578756,109,2684101;Unnamed Road,  Pal IX;BANGKA BELITUNG LAUT;PONTIANAK TENGGARA;-0,071430214,109,2758028;3.2;4800;0;4800;42;P;1998-02-20T00:00:00;95;L;1994-09-12T00:00:00;MOBIL;Honda;;;
1112;2019/03/02 07:12 s/d 2019/03/01 20:51;FOOD;KFC Gajah Mada, Jl. Siam No.216, Benua Melayu Darat, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78243, Indonesia;AKCAYA;PONTIANAK SELATAN;-0,0310438,109,3402023;Gg. Rumput Permai No.12b,  Sungai Jawi Dalam;SUNGAI JAWI LUAR;PONTIANAK BARAT;-0,020869814,109,3057546;5.99;7000;28500;35500;62;P;1977-12-04T00:00:00;76;L;1992-07-12T00:00:00;MOTOR;TVS;105;KFC Gajah Mada;RESTAURANT
1106;2019/03/01 20:51 s/d 2019/03/01 16:46;FOOD;Hamock Cafe, Jl. Diponegoro, Darat Sekip, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;SUNGAI BANGKONG;PONTIANAK KOTA;-0,0282718,109,3407416;Gg. Dharma Putra 17A,  Siantan Hilir;SIANTAN TENGAH;PONTIANAK UTARA;-0,004093855,109,3459657;4.75;6000;80000;86000;47;P;2003-10-28T00:00:00;83;L;1975-11-17T00:00:00;MOTOR;Honda;95;Hamock Cafe;CAFE
1620;2019/03/01 16:46 s/d 2019/03/01 11:58;BIKE;Gg. Darma Putra,  Tambelan Sampit;BANJAR SERASAN;PONTIANAK TIMUR;-0,03412003,109,3506034;Unnamed Road,  Saigon;DALAM BUGIS;PONTIANAK TIMUR;-0,046804618,109,3762408;5.18;2500;0;2500;6;P;1986-02-07T00:00:00;86;L;1995-01-12T00:00:00;MOTOR;Honda;;;
1826;2019/03/01 11:58 s/d 2019/03/01 10:46;BIKE;Gg. Makmur,  Siantan Tengah;BATU LAYANG;PONTIANAK UTARA;-0,003821185,109,3464315;Gang Patuha,  Sungai Jawi Dalam;TENGAH;PONTIANAK KOTA;-0,017572644,109,3257363;4.76;2000;0;2000;20;P;1993-03-17T00:00:00;92;L;1977-03-04T00:00:00;MOTOR;Yamaha;;;
1241;2019/03/01 10:46 s/d 2019/02/28 18:31;FOOD;B?tani Cafe & Resto, Jl. Letjend Suprapto No.16, Benua Melayu Darat, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78243, Indonesia;BENUA MELAYU DARAT;PONTIANAK SELATAN;-0,0402066,109,3409801;Gg. Gn. Peramas No.7,  Sungai Jawi Dalam;SUNGAI JAWI LUAR;PONTIANAK BARAT;-0,021794964,109,3041212;6.58;8000;54000;62000;4;L;1985-01-17T00:00:00;90;L;1997-03-24T00:00:00;MOTOR;Yamaha;24;B?tani Cafe & Resto;CAFE
1646;2019/02/28 18:31 s/d 2019/02/28 06:47;BIKE;Jl. H. Haruna No.16a,  Sungai Jawi Luar;SUNGAI JAWI;PONTIANAK KOTA;-0,014544147,109,3201884;Jl. Gusti Hamzah No.1,  Sungai Bangkong;DARAT SEKIP;PONTIANAK KOTA;-0,028914714,109,3227033;3.62;1500;0;1500;39;P;1992-02-27T00:00:00;90;L;1997-03-24T00:00:00;MOTOR;Yamaha;;;
1711;2019/02/28 06:47 s/d 2019/02/27 17:33;BIKE;Gg. Selamat Bersama No.11,  Sungai Bangkong;SUNGAI BELIUNG;PONTIANAK BARAT;-0,035733365,109,3167661;Jl. Arikarya Indah 4 No.21,  Pal IX;KOTA BARU;PONTIANAK SELATAN;-0,068436814,109,3015317;6.01;3000;0;3000;16;P;2001-05-06T00:00:00;76;L;1992-07-12T00:00:00;MOTOR;TVS;;;
1446;2019/02/27 17:33 s/d 2019/02/26 21:20;SHOP;Alfamart Tabrani Ahmad, Jl Tabrani Ahmad;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,0209993,109,2978401;Jl. 28 Oktober,  Siantan Hulu;SIANTAN TENGAH;PONTIANAK UTARA;0.014901124639683,109,3663074;10.6;14000;52500;66500;58;L;1998-07-05T00:00:00;102;P;1993-04-23T00:00:00;MOTOR;Kawasaki;422;Alfamart Tabrani Ahmad;TOKO/SWALAYAN
1816;2019/02/26 21:20 s/d 2019/02/26 20:40;BIKE;Jalan Parit Gandu Dalam,  Mega Tim.;TAMBELAN SAMPIT;PONTIANAK TIMUR;-0,008428849,109,3890321;Jl. Purnama II,  Kota Baru;PARIT TOKAYA;PONTIANAK SELATAN;-0,072151164,109,3174868;12.65;6500;0;6500;1;L;1997-04-01T00:00:00;90;L;1997-03-24T00:00:00;MOTOR;Yamaha;;;
1151;2019/02/26 20:40 s/d 2019/02/26 11:23;FOOD;Warunk Naskar, Jln. Komplek Pontianak Mall, Darat Sekip, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;DARAT SEKIP;PONTIANAK KOTA;-0,0315003,109,3356708;Jl. Sungai Raya Dalam,  Punggur Kecil;PARIT TOKAYA;PONTIANAK SELATAN;-0,109717452,109,3215927;10.84;15000;53500;68500;11;P;2002-03-13T00:00:00;81;L;1991-09-08T00:00:00;MOTOR;BMW;367;Warunk Naskar;WARUNG MAKAN
1161;2019/02/26 11:23 s/d 2019/02/26 09:47;FOOD;Hamock Cafe, Jl. Diponegoro, Darat Sekip, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;SUNGAI BANGKONG;PONTIANAK KOTA;-0,0282718,109,3407416;Unnamed Road,  Siantan Hilir;SIANTAN TENGAH;PONTIANAK UTARA;0.0099626879181602,109,344413;6.27;8000;35000;43000;16;P;2001-05-06T00:00:00;89;L;1987-02-12T00:00:00;MOTOR;Suzuki;95;Hamock Cafe;CAFE
1136;2019/02/26 09:47 s/d 2019/02/26 06:37;FOOD;A Ngow Juice, Jl. Setia Budi 1, Benua Melayu Darat, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78243, Indonesia;AKCAYA;PONTIANAK SELATAN;-0,0313218,109,344718;Gg. Siaga 2,  Dalam Bugis;SAIGON;PONTIANAK TIMUR;-0,030014395,109,363174;4.06;5000;63500;68500;72;L;2004-04-01T00:00:00;106;P;1999-02-17T00:00:00;MOTOR;TVS;250;A Ngow Juice;JAJANAN
1226;2019/02/26 06:37 s/d 2019/02/25 15:45;FOOD;Kopi Bang Edi, Jl. Sepakat I, Bansir Laut, Pontianak Tenggara, Kota Pontianak, Kalimantan Barat 78113, Indonesia;BANGKA BELITUNG DARAT;PONTIANAK TENGGARA;-0,0520848,109,3559651;Jl. Komp. Yuka,  Batu Layang;PAL LIMA;PONTIANAK BARAT;-0,000545116,109,2984022;10.59;14000;32500;46500;5;L;2001-04-20T00:00:00;102;P;1993-04-23T00:00:00;MOTOR;Kawasaki;364;Kopi Bang Edi;CAFE
1966;2019/02/25 15:45 s/d 2019/02/24 20:51;CAR;Unnamed Road,  Tj. Hilir;SIANTAN HULU;PONTIANAK UTARA;-0,021503224,109,3579297;Gg. Tlk. Bone No.28,  Sungai Jawi;PAL LIMA;PONTIANAK BARAT;-0,033996982,109,3007479;8.51;16800;0;16800;73;L;1992-02-01T00:00:00;96;L;1995-05-26T00:00:00;MOBIL;KIA;;;
1197;2019/02/24 20:51 s/d 2019/02/24 11:25;FOOD;Kuliner BPAS, Gg. Selat Makassar, Siantan Tengah, Pontianak Utara, Kota Pontianak, Kalimantan Barat 78243, Indonesia;SIANTAN HULU;PONTIANAK UTARA;-0,0162485,109,344718;Jl. Gajah Mada No.25,  RT.03;DARAT SEKIP;PONTIANAK KOTA;-0,035517197,109,3424524;4.16;5000;94500;99500;64;P;1997-12-24T00:00:00;79;L;1987-08-18T00:00:00;MOTOR;BMW;62;Kuliner BPAS;JAJANAN
1657;2019/02/24 11:25 s/d 2019/02/24 06:41;BIKE;Gg. Bersama 2 No.55a,  Sungai Jawi Dalam;SUNGAI BELIUNG;PONTIANAK BARAT;-0,018268564,109,3101462;Gang Jaya Makmur,  Kota Baru;PARIT TOKAYA;PONTIANAK SELATAN;-0,066619623,109,31323;7.39;3500;0;3500;48;L;2005-10-29T00:00:00;87;L;1983-05-25T00:00:00;MOTOR;Honda;;;
1735;2019/02/24 06:41 s/d 2019/02/23 21:34;BIKE;Jalur 4 No.6,  Sungai Jawi Dalam;SUNGAI JAWI LUAR;PONTIANAK BARAT;-0,013103843,109,3114041;Unnamed Road,  Pal IX;BANSIR DARAT;PONTIANAK TENGGARA;-0,059528979,109,2800197;8.23;4000;0;4000;35;P;1979-03-15T00:00:00;102;P;1993-04-23T00:00:00;MOTOR;Kawasaki;;;
1580;2019/02/23 21:34 s/d 2019/02/23 19:44;BIKE;1,  Batu Layang;SIANTAN HILIR;PONTIANAK UTARA;0.024247293099723,109,3130232;Ps. Kapuas Indah,  Jl. Kapten Marsan;SUNGAI JAWI LUAR;PONTIANAK BARAT;-0,022616084,109,3420439;8.13;4000;0;4000;3;L;1979-12-13T00:00:00;106;P;1999-02-17T00:00:00;MOTOR;TVS;;;
1693;2019/02/23 19:44 s/d 2019/02/23 13:41;BIKE;JL Angkasa Permai,  Kubu Raya;SIANTAN HILIR;PONTIANAK UTARA;0.00091009939205371,109,3353032;Jl. Dr. Sutomo No.62,  Sungai Bangkong;MARIANA;PONTIANAK KOTA;-0,041671892,109,3142591;7.28;3500;0;3500;62;P;1977-12-04T00:00:00;105;P;1989-03-18T00:00:00;MOTOR;Kawasaki;;;
1570;2019/02/23 13:41 s/d 2019/02/23 10:35;BIKE;Jl. Gst. Situt Mahmud No.19,  Siantan Hulu;SIANTAN TENGAH;PONTIANAK UTARA;-0,017257718,109,3574824;Unnamed Road,  Mega Tim.;TANJUNG HULU;PONTIANAK TIMUR;0.0001960768151679,109,3893082;6.04;3000;0;3000;73;L;1992-02-01T00:00:00;78;L;1999-11-13T00:00:00;MOTOR;Yamaha;;;
1688;2019/02/23 10:35 s/d 2019/02/23 06:40;BIKE;Jl. 28 Oktober Gg. Bima Sakti I,  Siantan Hulu;BANJAR SERASAN;PONTIANAK TIMUR;-0,01262315,109,3613573;Jalan Bukit Batu,  Pal Lima;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,040643322,109,2782263;11.75;6000;0;6000;35;P;1979-03-15T00:00:00;78;L;1999-11-13T00:00:00;MOTOR;Yamaha;;;
1468;2019/02/23 06:40 s/d 2019/02/23 06:29;SHOP;Indomaret Jalan karet, Jl Karet;SUNGAI BELIUNG;PONTIANAK BARAT;-0,0098018,109,2951365;Gang Alam Jaya II,  Pal Lima;PAL LIMA;PONTIANAK BARAT;-0,019392432,109,2949126;3.07;3000;98500;101500;25;P;1987-01-16T00:00:00;82;L;1993-06-10T00:00:00;MOTOR;Suzuki;418;Indomaret Jalan karet;TOKO/SWALAYAN
1257;2019/02/23 06:29 s/d 2019/02/22 21:22;FOOD;Mato Pontianak, Jl. Putri Candramidi No.21a, Sungai Bangkong, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78116, Indonesia;DARAT SEKIP;PONTIANAK KOTA;"-0,0384471,109.3272303 																															-0.03844709999999999";Gg. Nursalim No.3,  Sungai Bangkong;SUNGAI JAWI;PONTIANAK KOTA;-0,030286146,109,3206096;3.17;3000;64000;67000;53;P;1987-07-18T00:00:00;76;L;1992-07-12T00:00:00;MOTOR;TVS;48;Mato Pontianak;CAFE
1576;2019/02/22 21:22 s/d 2019/02/22 18:12;BIKE;Jl. Raya Kakap,  Pal IX;BANSIR LAUT;PONTIANAK TENGGARA;-0,07354495,109,2569806;Jl. HM Suwignyo No.142,  Sungai Bangkong;DARAT SEKIP;PONTIANAK KOTA;-0,031211769,109,3159037;10.07;5000;0;5000;15;P;1987-09-09T00:00:00;93;L;1984-12-26T00:00:00;MOTOR;TVS;;;
1945;2019/02/22 18:12 s/d 2019/02/22 17:33;CAR;Gang Mangga 1 No.7,  Sungai Jawi Luar;SUNGAI BELIUNG;PONTIANAK BARAT;-0,008773205,109,31937;Komp. Tebu Mandala,  Jl. Tebu;SUNGAI JAWI LUAR;PONTIANAK BARAT;-0,017033444,109,308459;3.52;6000;0;6000;48;L;2005-10-29T00:00:00;109;P;1988-05-02T00:00:00;MOBIL;Honda;;;
1928;2019/02/22 17:33 s/d 2019/02/22 16:31;CAR;Unnamed Road,  Batu Layang;SUNGAI BELIUNG;PONTIANAK BARAT;0.0037767716050218,109,3039044;Unnamed Road,  Saigon;TANJUNG HILIR;PONTIANAK TIMUR;-0,035785415,109,3650191;10.09;19200;0;19200;57;P;1982-11-11T00:00:00;99;L;1982-12-20T00:00:00;MOBIL;BMW;;;
