id;date_order;date_finished;mode;from_alamat;from_kelurahan;from_kecamatan;from_lat;from_lng;to_alamat;to_kelurahan;to_kecamatan;to_lat;to_lng;distance;amount_delivery;amount_merchant;transaction_amount_total;customer_id;customer_name;customer_gender;customer_birthdate;driver_id;driver_name;driver_gender;driver_birthdate;kendaraan_jenis;kendaraan_merk;merchant_id;merchant_name;merchant_category
1439;07/03/2019 08.34;07/03/2019 09.06;SHOP;Indomaret teuku umar, Jl Teuku Umar;DARAT SEKIP;PONTIANAK KOTA;-0,0326539;109,3314114;Jl. Suka Mulia No.88,  Sungai Jawi;SUNGAI BELIUNG;PONTIANAK BARAT;-0,038704611;109,3065035;4,85;6000;36000;42000;52;Ayu Yuliarti;P;21/01/1988;84;Lukita Napitupulu;L;22/02/2000;MOTOR;Kawasaki;420;Indomaret teuku umar;TOKO/SWALAYAN
1766;06/03/2019 22.20;07/03/2019 07.35;BIKE;Unnamed Road,  Pal IX;BANSIR DARAT;PONTIANAK TENGGARA;-0,062466265;109,2854573;Gg. Lestari,  Siantan Tengah;SIANTAN HULU;PONTIANAK UTARA;-0,010255399;109,3508127;11,3;5500;0;5500;34;Darijan Kadir Waluyo;L;07/07/2005;86;Daliono Firgantoro;L;01/12/1995;MOTOR;Honda;;;
1907;06/03/2019 08.53;06/03/2019 11.42;CAR;Gang Anugrah,  Siantan Tengah;BATU LAYANG;PONTIANAK UTARA;0.012710814550214;109,35114;Gg. Darma Putra 19 A,  Siantan Hilir;SIANTAN HILIR;PONTIANAK UTARA;-0,002516938;109,3459086;3,79;6000;0;6000;73;Ihsan Harjasa Prabowo;L;02/01/1992;108;Ana Maimunah Pertiwi S.H.;P;21/12/1991;MOBIL;Toyota;;;
1584;06/03/2019 08.41;06/03/2019 09.39;BIKE;Jl. H. Rais A. Rachman No.282,  Sungai Jawi Dalam;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,019976537;109,3202363;Jl. Camar No.9a,  Mariana;PAL LIMA;PONTIANAK BARAT;-0,022235227;109,3284664;2,95;1000;0;1000;39;Ellis Ella Usada S.H.;P;27/02/1992;104;Faizah Shania Usamah S.T.;P;19/10/1979;MOTOR;BMW;;;
1980;06/03/2019 08.39;06/03/2019 10.34;CAR;Gg. Merangkai No.35,  Siantan Hulu;SIANTAN HILIR;PONTIANAK UTARA;-0,007634859;109,3572542;Jl. Ampera No.12,  Sungai Bangkong;BANSIR DARAT;PONTIANAK TENGGARA;-0,056871663;109,3045784;10,02;19200;0;19200;6;Ratih Shakila Usada S.Gz;P;02/07/1986;109;Maimunah Pudjiastuti;P;05/02/1988;MOBIL;Honda;;;
1851;05/03/2019 12.54;05/03/2019 13.25;BIKE;Blk. A-B No.a29,  Pal IX;BENUA MELAYU LAUT;PONTIANAK SELATAN;-0,058011727;109,2970259;Jl. Karya,  Pal IX;SUNGAI BANGKONG;PONTIANAK KOTA;-0,056138475;109,2935403;2,44;1000;0;1000;67;Dian Aryani;P;02/05/1994;81;Manah Sirait;L;09/08/1991;MOTOR;BMW;;;
1140;05/03/2019 10.48;05/03/2019 11.48;FOOD;Nasi Goreng 21, Jl. H. Rais A. Rachman No.310, Sungai Jawi Dalam, Pontianak Bar., Kota Pontianak, Kalimantan Barat 78244, Indonesia;MARIANA;PONTIANAK KOTA;-0,020418712;109,3193189;Gg. Wonodadi 2 No.5,  Kota Baru;BENUA MELAYU DARAT;PONTIANAK SELATAN;-0,056139686;109,3202945;5,97;7000;71500;78500;59;Dina Mulyani;P;26/10/1985;101;Kartika Winarsih S.Ked;P;02/04/1986;MOTOR;Honda;15;Nasi Goreng 21;WARUNG MAKAN
2011;05/03/2019 08.55;05/03/2019 11.05;CAR;Jl. Kh.A.Dahlan No.67,  Darat Sekip;SUNGAI JAWI;PONTIANAK KOTA;-0,029947045;109,3297414;Gang Parit Timur,  Mega Tim.;SAIGON;PONTIANAK TIMUR;-0,016424518;109,3999763;9,95;19200;0;19200;74;Sabrina Widiastuti;P;28/11/2001;108;Ana Maimunah Pertiwi S.H.;P;21/12/1991;MOBIL;Toyota;;;
1434;04/03/2019 22.53;05/03/2019 03.13;SHOP;Indomaret Siantan Hilir, Jl Gusti Situt Mahmud;SIANTAN HILIR;PONTIANAK UTARA;-0,013708;109,336138;Jl. 28 Oktober No.188,  Siantan Hulu;DALAM BUGIS;PONTIANAK TIMUR;0.0055064593602086;109,3633346;5,7;7000;69500;76500;55;Ajimin Aditya Pangestu;L;22/04/2004;85;Jarwadi Nababan;L;01/06/1984;MOTOR;Suzuki;425;Indomaret Siantan Hilir;TOKO/SWALAYAN
1715;04/03/2019 22.30;05/03/2019 00.04;BIKE;Blk. P-Q,  Parit Tokaya;BENUA MELAYU DARAT;PONTIANAK SELATAN;-0,06382848;109,3301599;Gg. Risa No.1,  Sungai Jawi Dalam;TENGAH;PONTIANAK KOTA;-0,023150168;109,3093356;7,08;3500;0;3500;25;Karimah Keisha Suryatmi;P;16/01/1987;83;Gaiman Hidayat S.Kom;L;17/11/1975;MOTOR;Honda;;;
1675;04/03/2019 21.53;05/03/2019 00.27;BIKE;Gg. Swakarya II No.17,  Kota Baru;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,052895436;109,3161849;Gg. Margodadirejo 2CC,  78244;SUNGAI BELIUNG;PONTIANAK BARAT;-0,026917496;109,3094926;4,98;2000;0;2000;28;Nova Raina Yulianti;P;15/02/1990;101;Kartika Winarsih S.Ked;P;02/04/1986;MOTOR;Honda;;;
1920;04/03/2019 21.15;05/03/2019 00.15;CAR;Gg. Bukit Raya 2 No.78,  Sungai Jawi Dalam;DARAT SEKIP;PONTIANAK KOTA;-0,018595816;109,3183225;Jl. Sakura No.2b,  Akcaya;MARIANA;PONTIANAK KOTA;-0,037950211;109,3311813;4,58;7200;0;7200;18;Maida Nuraini;P;27/11/1991;109;Maimunah Pudjiastuti;P;05/02/1988;MOBIL;Honda;;;
1745;04/03/2019 20.59;04/03/2019 23.19;BIKE;Jl. Dr. Sutomo No.4,  Sungai Bangkong;PARIT TOKAYA;PONTIANAK SELATAN;-0,046277981;109,3182076;Jl. Gaya Baru Gg. D.Bintara No.25,  Tambelan Sampit;DALAM BUGIS;PONTIANAK TIMUR;-0,029687242;109,3490152;5,89;2500;0;2500;63;Paris Andriani;P;05/03/1994;81;Manah Sirait;L;09/08/1991;MOTOR;BMW;;;
1219;04/03/2019 09.37;04/03/2019 12.09;FOOD;Banana Queen, Jalan Putri Daranante Gg.Nurcahaya No.41B;SUNGAI BANGKONG;PONTIANAK KOTA;-0,0263303;109,3425039;Gang Setia,  Siantan Hulu;BATU LAYANG;PONTIANAK UTARA;-0,018222183;109,3703058;5,22;6000;69000;75000;56;Galur Hidayat;L;22/09/1984;103;Eka Tira Haryanti;P;21/11/1994;MOTOR;BMW;339;Banana Queen;JAJANAN
2051;04/03/2019 06.59;04/03/2019 15.41;CAR;Unnamed Road,  Sungai Rengas;BANGKA BELITUNG DARAT;PONTIANAK TENGGARA;-0,038306987;109,2521089;Jl. Putri Dara Hitam No.21,  Sungai Bangkong;TENGAH;PONTIANAK KOTA;-0,029316024;109,3234469;9,99;19200;0;19200;51;Artawan Pranowo;L;07/05/1991;108;Ana Maimunah Pertiwi S.H.;P;21/12/1991;MOBIL;Toyota;;;
1939;03/03/2019 16.35;03/03/2019 18.51;CAR;Gg. Nursalim No.11,  Sungai Bangkong;TENGAH;PONTIANAK KOTA;-0,031177753;109,3202097;Gg. Aspal No.5,  Sungai Jawi;BANSIR DARAT;PONTIANAK TENGGARA;-0,033457906;109,3055363;3,65;6000;0;6000;38;Cager Teguh Wijaya S.Pt;L;04/11/1975;97;Waluyo Setiawan;L;27/07/1978;MOBIL;Mitsubishi;;;
1218;03/03/2019 12.39;03/03/2019 14.17;FOOD;Jojo Juice, Merdeka, Jl. Hos Cokroaminoto No.344, RW.VII, Darat Sekip, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;MARIANA;PONTIANAK KOTA;-0,02777;109,3334367;Unnamed Road,  Pal IX;BANGKA BELITUNG DARAT;PONTIANAK TENGGARA;-0,055873488;109,2901282;7,74;10000;49000;59000;21;Estiawan Suryono;L;20/02/2005;85;Jarwadi Nababan;L;01/06/1984;MOTOR;Suzuki;255;Jojo Juice, Merdeka;JAJANAN
1665;03/03/2019 09.15;03/03/2019 11.13;BIKE;Unnamed Road,  Punggur Kecil;BANSIR LAUT;PONTIANAK TENGGARA;-0,084685391;109,2823454;Unnamed Road,  Pal IX;BANSIR LAUT;PONTIANAK TENGGARA;-0,06821029;109,2829274;3,83;1500;0;1500;55;Ajimin Aditya Pangestu;L;22/04/2004;86;Daliono Firgantoro;L;01/12/1995;MOTOR;Honda;;;
2003;02/03/2019 16.30;02/03/2019 20.03;CAR;Unnamed Road,  Pal IX;BANGKA BELITUNG DARAT;PONTIANAK TENGGARA;-0,066180926;109,2770786;Jalan Kemakmuran No.31,  Sungai Jawi;DARAT SEKIP;PONTIANAK KOTA;-0,03637073;109,3125917;7,16;13200;0;13200;56;Galur Hidayat;L;22/09/1984;97;Waluyo Setiawan;L;27/07/1978;MOBIL;Mitsubishi;;;
1926;02/03/2019 15.54;02/03/2019 16.52;CAR;Jl. Gusti Hamzah No.31,  Sungai Bangkong;DARAT SEKIP;PONTIANAK KOTA;-0,028442789;109,3194975;Jl. Meranti No.63a,  Darat Sekip;SUNGAI BELIUNG;PONTIANAK BARAT;-0,030991615;109,331723;3,39;4800;0;4800;37;Latika Puspita;P;01/08/1985;96;Bakda Gunawan;L;26/05/1995;MOBIL;KIA;;;
1913;02/03/2019 10.58;02/03/2019 13.08;CAR;Unnamed Road,  Pal IX;BANSIR DARAT;PONTIANAK TENGGARA;-0,063578756;109,2684101;Unnamed Road,  Pal IX;BANGKA BELITUNG LAUT;PONTIANAK TENGGARA;-0,071430214;109,2758028;3,2;4800;0;4800;42;Yunita Tiara Laksita;P;20/02/1998;95;Cengkal Marpaung;L;09/12/1994;MOBIL;Honda;;;
1112;02/03/2019 07.12;02/03/2019 08.27;FOOD;KFC Gajah Mada, Jl. Siam No.216, Benua Melayu Darat, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78243, Indonesia;AKCAYA;PONTIANAK SELATAN;-0,0310438;109,3402023;Gg. Rumput Permai No.12b,  Sungai Jawi Dalam;SUNGAI JAWI LUAR;PONTIANAK BARAT;-0,020869814;109,3057546;5,99;7000;28500;35500;62;Melinda Namaga S.Pt;P;12/04/1977;76;Paiman Wacana S.Kom;L;07/12/1992;MOTOR;TVS;105;KFC Gajah Mada;RESTAURANT
1106;01/03/2019 20.51;01/03/2019 21.23;FOOD;Hamock Cafe, Jl. Diponegoro, Darat Sekip, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;SUNGAI BANGKONG;PONTIANAK KOTA;-0,0282718;109,3407416;Gg. Dharma Putra 17A,  Siantan Hilir;SIANTAN TENGAH;PONTIANAK UTARA;-0,004093855;109,3459657;4,75;6000;80000;86000;47;Aisyah Farida;P;28/10/2003;83;Gaiman Hidayat S.Kom;L;17/11/1975;MOTOR;Honda;95;Hamock Cafe;CAFE
1620;01/03/2019 16.46;01/03/2019 17.51;BIKE;Gg. Darma Putra,  Tambelan Sampit;BANJAR SERASAN;PONTIANAK TIMUR;-0,03412003;109,3506034;Unnamed Road,  Saigon;DALAM BUGIS;PONTIANAK TIMUR;-0,046804618;109,3762408;5,18;2500;0;2500;6;Ratih Shakila Usada S.Gz;P;02/07/1986;86;Daliono Firgantoro;L;01/12/1995;MOTOR;Honda;;;
1826;01/03/2019 11.58;01/03/2019 13.56;BIKE;Gg. Makmur,  Siantan Tengah;BATU LAYANG;PONTIANAK UTARA;-0,003821185;109,3464315;Gang Patuha,  Sungai Jawi Dalam;TENGAH;PONTIANAK KOTA;-0,017572644;109,3257363;4,76;2000;0;2000;20;Victoria Winarsih;P;17/03/1993;92;Danu Januar;L;03/04/1977;MOTOR;Yamaha;;;
1241;01/03/2019 10.46;01/03/2019 16.37;FOOD;B?tani Cafe & Resto, Jl. Letjend Suprapto No.16, Benua Melayu Darat, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78243, Indonesia;BENUA MELAYU DARAT;PONTIANAK SELATAN;-0,0402066;109,3409801;Gg. Gn. Peramas No.7,  Sungai Jawi Dalam;SUNGAI JAWI LUAR;PONTIANAK BARAT;-0,021794964;109,3041212;6,58;8000;54000;62000;4;Karsana Caturangga Budiman S.Pt;L;17/01/1985;90;Rusman Situmorang;L;24/03/1997;MOTOR;Yamaha;24;B?tani Cafe & Resto;CAFE
1646;28/02/2019 18.31;28/02/2019 19.40;BIKE;Jl. H. Haruna No.16a,  Sungai Jawi Luar;SUNGAI JAWI;PONTIANAK KOTA;-0,014544147;109,3201884;Jl. Gusti Hamzah No.1,  Sungai Bangkong;DARAT SEKIP;PONTIANAK KOTA;-0,028914714;109,3227033;3,62;1500;0;1500;39;Ellis Ella Usada S.H.;P;27/02/1992;90;Rusman Situmorang;L;24/03/1997;MOTOR;Yamaha;;;
1711;28/02/2019 06.47;28/02/2019 08.20;BIKE;Gg. Selamat Bersama No.11,  Sungai Bangkong;SUNGAI BELIUNG;PONTIANAK BARAT;-0,035733365;109,3167661;Jl. Arikarya Indah 4 No.21,  Pal IX;KOTA BARU;PONTIANAK SELATAN;-0,068436814;109,3015317;6,01;3000;0;3000;16;Lili Alika Purwanti;P;05/06/2001;76;Paiman Wacana S.Kom;L;07/12/1992;MOTOR;TVS;;;
1446;27/02/2019 17.33;27/02/2019 23.38;SHOP;Alfamart Tabrani Ahmad, Jl Tabrani Ahmad;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,0209993;109,2978401;Jl. 28 Oktober,  Siantan Hulu;SIANTAN TENGAH;PONTIANAK UTARA;0.014901124639683;109,3663074;10,6;14000;52500;66500;58;Kasiran Uwais;L;07/05/1998;102;Intan Nasyiah;P;23/04/1993;MOTOR;Kawasaki;422;Alfamart Tabrani Ahmad;TOKO/SWALAYAN
1816;26/02/2019 21.20;27/02/2019 00.32;BIKE;Jalan Parit Gandu Dalam,  Mega Tim.;TAMBELAN SAMPIT;PONTIANAK TIMUR;-0,008428849;109,3890321;Jl. Purnama II,  Kota Baru;PARIT TOKAYA;PONTIANAK SELATAN;-0,072151164;109,3174868;12,65;6500;0;6500;1;Marsito Winarno;L;04/01/1997;90;Rusman Situmorang;L;24/03/1997;MOTOR;Yamaha;;;
1151;26/02/2019 20.40;26/02/2019 23.35;FOOD;Warunk Naskar, Jln. Komplek Pontianak Mall, Darat Sekip, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;DARAT SEKIP;PONTIANAK KOTA;-0,0315003;109,3356708;Jl. Sungai Raya Dalam,  Punggur Kecil;PARIT TOKAYA;PONTIANAK SELATAN;-0,109717452;109,3215927;10,84;15000;53500;68500;11;Anita Mardhiyah;P;13/03/2002;81;Manah Sirait;L;09/08/1991;MOTOR;BMW;367;Warunk Naskar;WARUNG MAKAN
1161;26/02/2019 11.23;26/02/2019 15.44;FOOD;Hamock Cafe, Jl. Diponegoro, Darat Sekip, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;SUNGAI BANGKONG;PONTIANAK KOTA;-0,0282718;109,3407416;Unnamed Road,  Siantan Hilir;SIANTAN TENGAH;PONTIANAK UTARA;0.0099626879181602;109,344413;6,27;8000;35000;43000;16;Lili Alika Purwanti;P;05/06/2001;89;Dirja Mansur;L;02/12/1987;MOTOR;Suzuki;95;Hamock Cafe;CAFE
1136;26/02/2019 09.47;26/02/2019 11.05;FOOD;A Ngow Juice, Jl. Setia Budi 1, Benua Melayu Darat, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78243, Indonesia;AKCAYA;PONTIANAK SELATAN;-0,0313218;109,344718;Gg. Siaga 2,  Dalam Bugis;SAIGON;PONTIANAK TIMUR;-0,030014395;109,363174;4,06;5000;63500;68500;72;Mitra Prasasta;L;04/01/2004;106;Yunita Laras Pratiwi;P;17/02/1999;MOTOR;TVS;250;A Ngow Juice;JAJANAN
1226;26/02/2019 06.37;26/02/2019 14.27;FOOD;Kopi Bang Edi, Jl. Sepakat I, Bansir Laut, Pontianak Tenggara, Kota Pontianak, Kalimantan Barat 78113, Indonesia;BANGKA BELITUNG DARAT;PONTIANAK TENGGARA;-0,0520848;109,3559651;Jl. Komp. Yuka,  Batu Layang;PAL LIMA;PONTIANAK BARAT;-0,000545116;109,2984022;10,59;14000;32500;46500;5;Banawi Hidayat;L;20/04/2001;102;Intan Nasyiah;P;23/04/1993;MOTOR;Kawasaki;364;Kopi Bang Edi;CAFE
1966;25/02/2019 15.45;25/02/2019 19.09;CAR;Unnamed Road,  Tj. Hilir;SIANTAN HULU;PONTIANAK UTARA;-0,021503224;109,3579297;Gg. Tlk. Bone No.28,  Sungai Jawi;PAL LIMA;PONTIANAK BARAT;-0,033996982;109,3007479;8,51;16800;0;16800;73;Ihsan Harjasa Prabowo;L;02/01/1992;96;Bakda Gunawan;L;26/05/1995;MOBIL;KIA;;;
1197;24/02/2019 20.51;25/02/2019 00.35;FOOD;Kuliner BPAS, Gg. Selat Makassar, Siantan Tengah, Pontianak Utara, Kota Pontianak, Kalimantan Barat 78243, Indonesia;SIANTAN HULU;PONTIANAK UTARA;-0,0162485;109,344718;Jl. Gajah Mada No.25,  RT.03;DARAT SEKIP;PONTIANAK KOTA;-0,035517197;109,3424524;4,16;5000;94500;99500;64;Keisha Natalia Nurdiyanti;P;24/12/1997;79;Jabal Prasetya S.Psi;L;18/08/1987;MOTOR;BMW;62;Kuliner BPAS;JAJANAN
1657;24/02/2019 11.25;24/02/2019 12.21;BIKE;Gg. Bersama 2 No.55a,  Sungai Jawi Dalam;SUNGAI BELIUNG;PONTIANAK BARAT;-0,018268564;109,3101462;Gang Jaya Makmur,  Kota Baru;PARIT TOKAYA;PONTIANAK SELATAN;-0,066619623;109,31323;7,39;3500;0;3500;48;Satya Sihombing M.M.;L;29/10/2005;87;Artanto Eman Wacana S.I.Kom;L;25/05/1983;MOTOR;Honda;;;
1735;24/02/2019 06.41;24/02/2019 12.25;BIKE;Jalur 4 No.6,  Sungai Jawi Dalam;SUNGAI JAWI LUAR;PONTIANAK BARAT;-0,013103843;109,3114041;Unnamed Road,  Pal IX;BANSIR DARAT;PONTIANAK TENGGARA;-0,059528979;109,2800197;8,23;4000;0;4000;35;Hasna Riyanti S.E.I;P;15/03/1979;102;Intan Nasyiah;P;23/04/1993;MOTOR;Kawasaki;;;
1580;23/02/2019 21.34;24/02/2019 02.50;BIKE;1,  Batu Layang;SIANTAN HILIR;PONTIANAK UTARA;0.024247293099723;109,3130232;Ps. Kapuas Indah,  Jl. Kapten Marsan;SUNGAI JAWI LUAR;PONTIANAK BARAT;-0,022616084;109,3420439;8,13;4000;0;4000;3;Mahmud Candrakanta Lazuardi S.Pt;L;13/12/1979;106;Yunita Laras Pratiwi;P;17/02/1999;MOTOR;TVS;;;
1693;23/02/2019 19.44;24/02/2019 00.45;BIKE;JL Angkasa Permai,  Kubu Raya;SIANTAN HILIR;PONTIANAK UTARA;0.00091009939205371;109,3353032;Jl. Dr. Sutomo No.62,  Sungai Bangkong;MARIANA;PONTIANAK KOTA;-0,041671892;109,3142591;7,28;3500;0;3500;62;Melinda Namaga S.Pt;P;12/04/1977;105;Restu Yuniar S.Pt;P;18/03/1989;MOTOR;Kawasaki;;;
1570;23/02/2019 13.41;23/02/2019 18.41;BIKE;Jl. Gst. Situt Mahmud No.19,  Siantan Hulu;SIANTAN TENGAH;PONTIANAK UTARA;-0,017257718;109,3574824;Unnamed Road,  Mega Tim.;TANJUNG HULU;PONTIANAK TIMUR;0.0001960768151679;109,3893082;6,04;3000;0;3000;73;Ihsan Harjasa Prabowo;L;02/01/1992;78;Maryadi Natsir;L;13/11/1999;MOTOR;Yamaha;;;
1688;23/02/2019 10.35;23/02/2019 21.07;BIKE;Jl. 28 Oktober Gg. Bima Sakti I,  Siantan Hulu;BANJAR SERASAN;PONTIANAK TIMUR;-0,01262315;109,3613573;Jalan Bukit Batu,  Pal Lima;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,040643322;109,2782263;11,75;6000;0;6000;35;Hasna Riyanti S.E.I;P;15/03/1979;78;Maryadi Natsir;L;13/11/1999;MOTOR;Yamaha;;;
1468;23/02/2019 06.40;23/02/2019 09.19;SHOP;Indomaret Jalan karet, Jl Karet;SUNGAI BELIUNG;PONTIANAK BARAT;-0,0098018;109,2951365;Gang Alam Jaya II,  Pal Lima;PAL LIMA;PONTIANAK BARAT;-0,019392432;109,2949126;3,07;3000;98500;101500;25;Karimah Keisha Suryatmi;P;16/01/1987;82;Latif Marbun;L;06/10/1993;MOTOR;Suzuki;418;Indomaret Jalan karet;TOKO/SWALAYAN
1257;23/02/2019 06.29;23/02/2019 07.00;FOOD;Mato Pontianak, Jl. Putri Candramidi No.21a, Sungai Bangkong, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78116, Indonesia;DARAT SEKIP;PONTIANAK KOTA;-0,0384471;"109.3272303 																															-0.03844709999999999";Gg. Nursalim No.3,  Sungai Bangkong;SUNGAI JAWI;PONTIANAK KOTA;-0,030286146;109,3206096;3,17;3000;64000;67000;53;Nova Hasanah;P;18/07/1987;76;Paiman Wacana S.Kom;L;07/12/1992;MOTOR;TVS;48;Mato Pontianak;CAFE
